开仓时间,出场时间,开仓方向,交易手数,入场价格,出场价格,出场原因,盈亏(USDT),账户余额
2026-02-28 06:10,2026-02-28 06:30,做空,0.62,65638.80,65332.60,止盈,+149.13,1149.13
2026-02-28 06:30,2026-02-28 06:35,做空,0.30,65497.25,65092.68,止盈,+103.20,1252.33
2026-02-28 06:35,2026-02-28 07:05,做空,0.22,65360.40,65813.58,止损,-112.84,1139.49
2026-02-28 14:15,2026-02-28 14:20,做空,0.46,65595.55,65162.13,止盈,+167.95,1307.44
2026-02-28 14:20,2026-02-28 14:25,做空,0.21,65328.45,64834.72,止盈,+89.05,1396.48
2026-02-28 14:25,2026-02-28 14:30,做空,0.21,65328.45,64737.58,止盈,+112.70,1509.19
2026-02-28 19:55,2026-02-28 21:45,做空,0.28,63942.10,64365.54,止损,-137.29,1371.90
2026-02-28 21:45,2026-03-01 02:50,做多,0.21,63735.95,65944.67,止盈,+441.74,1813.64
2026-03-02 16:45,2026-03-02 21:05,做多,1.31,65854.80,65790.32,止损,-170.45,1643.19
2026-03-02 21:30,2026-03-02 21:40,做空,0.27,66132.10,65642.16,止盈,+116.60,1759.79
2026-03-02 22:40,2026-03-02 22:45,做多,0.50,65835.35,66632.22,止盈,+366.61,2126.40
2026-03-04 04:55,2026-03-04 11:30,做空,0.24,68252.40,67577.34,止盈,+144.81,2271.21
2026-03-04 13:40,2026-03-04 15:40,做空,0.41,68498.65,68935.43,止损,-208.31,2062.90
2026-03-04 15:40,2026-03-04 15:45,做多,0.19,68570.65,69447.36,止盈,+151.80,2214.70
2026-03-05 19:20,2026-03-05 21:30,做多,0.40,72630.25,72185.38,止损,-204.59,2010.10
2026-03-06 09:40,2026-03-06 12:40,做空,0.36,71068.60,70551.24,止盈,+161.70,2171.81
2026-03-07 07:40,2026-03-07 11:10,做空,0.63,68237.00,68523.89,止损,-222.94,1948.86
2026-03-08 13:20,2026-03-08 19:05,做多,1.38,66978.05,67526.70,反向信号,+665.34,2614.21
2026-03-08 19:05,2026-03-08 19:40,做空,1.83,67775.35,67409.08,止盈,+547.21,3161.42
2026-03-08 19:40,2026-03-08 20:05,做空,2.22,67606.35,67225.69,止盈,+695.78,3857.20
2026-03-08 20:45,2026-03-08 21:10,做空,2.71,67606.35,67110.67,止盈,+1160.78,5017.98
2026-03-08 21:10,2026-03-08 21:15,做空,3.53,67606.35,67108.17,止盈,+1518.93,6536.91
2026-03-08 21:15,2026-03-09 03:45,做空,1.49,67120.80,67475.72,止损,-627.27,5909.64
2026-03-09 03:45,2026-03-09 05:10,做多,1.17,67228.90,66828.15,止损,-549.39,5360.25
2026-03-09 08:35,2026-03-09 09:05,做多,2.79,66249.85,66076.72,止损,-668.47,4691.78
2026-03-09 11:00,2026-03-09 17:30,做多,0.41,66314.45,68153.74,止盈,+735.10,5426.87
2026-03-09 17:40,2026-03-10 17:20,做多,0.15,68073.25,71110.97,止盈,+454.30,5881.18
2026-03-10 22:40,2026-03-10 22:55,做多,0.52,70060.00,71446.35,止盈,+682.17,6563.35
2026-03-10 23:35,2026-03-11 02:30,做多,0.29,70883.00,70343.80,反向信号,-174.46,6388.89
2026-03-11 02:30,2026-03-11 03:30,做空,0.66,70583.15,69776.68,止盈,+486.22,6875.11
2026-03-11 12:20,2026-03-11 13:40,做多,1.81,69655.55,69343.00,止损,-690.07,6185.03
2026-03-11 18:45,2026-03-11 19:40,做多,2.57,69545.00,69334.74,止损,-719.28,5465.75
2026-03-11 21:20,2026-03-12 10:40,做多,0.61,69990.90,69297.30,止损,-466.40,4999.35
2026-03-12 12:05,2026-03-13 08:20,做多,0.68,69462.80,71707.88,止盈,+1460.69,6460.04
2026-03-13 10:35,2026-03-13 11:50,做空,4.30,71401.00,71467.96,止损,-594.74,5865.30
2026-03-13 16:35,2026-03-13 21:55,做多,0.62,71602.10,73493.34,止盈,+1121.31,6986.61
2026-03-15 07:05,2026-03-15 10:00,做多,1.57,70767.90,71250.81,止盈,+647.56,7634.17
2026-03-15 10:00,2026-03-16 11:35,做多,1.15,70913.55,73840.74,止盈,+3269.22,10903.39
2026-03-16 14:05,2026-03-16 16:30,做空,7.00,73965.60,73294.70,止盈,+4182.09,15085.48
2026-03-16 16:30,2026-03-16 16:40,做空,9.77,73352.55,72870.34,止盈,+3996.35,19081.82
2026-03-16 16:40,2026-03-16 18:00,做空,12.36,73309.85,73382.31,止损,-1802.67,17279.16
2026-03-16 20:50,2026-03-16 21:35,做多,2.23,73337.55,74339.26,止盈,+2073.06,19352.21
2026-03-17 02:50,2026-03-17 03:05,做多,2.48,73534.10,74106.21,止盈,+1237.05,20589.26
2026-03-17 03:05,2026-03-17 03:10,做多,2.60,73534.10,74154.29,止盈,+1423.01,22012.28
2026-03-17 03:25,2026-03-17 03:30,做多,2.78,73534.10,74161.93,止盈,+1539.23,23551.50
2026-03-17 03:45,2026-03-17 04:50,做多,3.02,73534.10,74109.49,止盈,+1513.92,25065.43
2026-03-17 23:00,2026-03-17 23:35,做多,3.17,74299.75,73686.46,止损,-2181.66,22883.76
2026-03-18 01:20,2026-03-18 03:10,做多,3.73,74191.35,74743.84,止盈,+1783.54,24667.30
2026-03-19 10:50,2026-03-19 11:15,做空,7.14,71129.45,71417.27,止损,-2564.64,22102.66
2026-03-19 11:15,2026-03-19 12:25,做多,3.24,71125.30,70591.43,止损,-1957.10,20145.57
2026-03-19 17:20,2026-03-19 20:00,做多,13.69,69875.40,69796.71,止损,-2033.94,18111.63
